category,model,round_date,actual,forecast
Category A,log+drift+quota,2026-07-15,126000.0,129380
Category A,log+drift+quota,2026-08-01,123890.0,124315
Category A,log+drift+quota,2026-08-15,128501.0,127217
Category A,log+drift+quota,2026-09-01,133009.0,131939
Category B,naive,2025-09-15,136890.0,127501
Category B,naive,2025-10-01,141000.0,136890
Category B,naive,2025-10-15,131889.0,141000
Category B,naive,2025-11-01,115001.0,131889
Category B,naive,2025-11-15,129890.0,115001
Category B,naive,2025-12-01,123900.0,129890
Category B,naive,2025-12-15,115102.0,123900
Category B,naive,2026-01-01,119100.0,115102
Category B,naive,2026-01-15,121634.0,119100
Category B,naive,2026-02-01,110890.0,121634
Category B,naive,2026-02-15,105001.0,110890
Category B,naive,2026-03-01,114002.0,105001
Category B,naive,2026-03-15,115568.0,114002
Category B,naive,2026-04-01,121000.0,115568
Category B,naive,2026-04-15,121001.0,121000
Category B,naive,2026-05-01,126236.0,121001
Category B,naive,2026-05-15,129501.0,126236
Category B,naive,2026-06-01,126989.0,129501
Category B,naive,2026-06-15,123502.0,126989
Category B,naive,2026-07-01,130889.0,123502
Category B,naive,2026-07-15,129890.0,130889
Category B,naive,2026-08-01,129910.0,129890
Category B,naive,2026-08-15,131001.0,129910
Category B,naive,2026-09-01,135001.0,131001
Category B,arima,2025-09-15,136890.0,126762
Category B,arima,2025-10-01,141000.0,136140
Category B,arima,2025-10-15,131889.0,138235
Category B,arima,2025-11-01,115001.0,132220
Category B,arima,2025-11-15,129890.0,118600
Category B,arima,2025-12-01,123900.0,130659
Category B,arima,2025-12-15,115102.0,123256
Category B,arima,2026-01-01,119100.0,115338
Category B,arima,2026-01-15,121634.0,122629
Category B,arima,2026-02-01,110890.0,119249
Category B,arima,2026-02-15,105001.0,111259
Category B,arima,2026-03-01,114002.0,109448
Category B,arima,2026-03-15,115568.0,112801
Category B,arima,2026-04-01,121000.0,113833
Category B,arima,2026-04-15,121001.0,120672
Category B,arima,2026-05-01,126236.0,119811
Category B,arima,2026-05-15,129501.0,124948
Category B,arima,2026-06-01,126989.0,129228
Category B,arima,2026-06-15,123502.0,125560
Category B,arima,2026-07-01,130889.0,124697
Category B,arima,2026-07-15,129890.0,131061
Category B,arima,2026-08-01,129910.0,128012
Category B,arima,2026-08-15,131001.0,130111
Category B,arima,2026-09-01,135001.0,131706
Category B,arima+quota,2025-09-15,136890.0,126786
Category B,arima+quota,2025-10-01,141000.0,135285
Category B,arima+quota,2025-10-15,131889.0,138436
Category B,arima+quota,2025-11-01,115001.0,132187
Category B,arima+quota,2025-11-15,129890.0,118434
Category B,arima+quota,2025-12-01,123900.0,131290
Category B,arima+quota,2025-12-15,115102.0,122622
Category B,arima+quota,2026-01-01,119100.0,115397
Category B,arima+quota,2026-01-15,121634.0,123246
Category B,arima+quota,2026-02-01,110890.0,118933
Category B,arima+quota,2026-02-15,105001.0,111617
Category B,arima+quota,2026-03-01,114002.0,109265
Category B,arima+quota,2026-03-15,115568.0,112965
Category B,arima+quota,2026-04-01,121000.0,114167
Category B,arima+quota,2026-04-15,121001.0,120146
Category B,arima+quota,2026-05-01,126236.0,118847
Category B,arima+quota,2026-05-15,129501.0,125043
Category B,arima+quota,2026-06-01,126989.0,128438
Category B,arima+quota,2026-06-15,123502.0,125675
Category B,arima+quota,2026-07-01,130889.0,124969
Category B,arima+quota,2026-07-15,129890.0,130773
Category B,arima+quota,2026-08-01,129910.0,127489
Category B,arima+quota,2026-08-15,131001.0,129677
Category B,arima+quota,2026-09-01,135001.0,131453
